,Kolapur,Ahmedabad,Vellore,Agra,Cuttack,Guwahati,Kolkata,Aligarh,Madurai,Raipur,Thiruvananthapuram,Jhansi,Patiala,Visakhapatnam,Kota,Jaipur,Jammu,Goa,Chennai,Varanasi,Vadodara,Jamshedpur,Aurangabad,Jabalpur,Leh,Gandhinagar,Jaisalmer,Chandigarh,Hyderabad,Nashik,Ranchi,Pune,Jodhpur,Indore,Jalgaon,Nanded,Gangtok,Bhopal,Patna,Srinagar,Delhi,Gwalior,Solapur,Bangalore,Bikaner,Ghaziabad,Rajkot,Lucknow,Dwarka,Mumbai
Kolapur,100000.0,137.513,1454.366,737.237,1517.434,2045.019,1718.42,787.43,1690.35,1070.345,1792.814,733.689,841.226,1393.569,466.164,538.546,1027.676,985.901,1505.397,1163.253,239.208,1494.991,587.636,853.919,1276.881,128.455,357.19,910.967,1012.846,484.865,1398.628,638.528,301.554,453.161,525.044,786.061,1746.588,593.931,1377.91,1170.115,762.516,706.893,769.65,1362.334,486.823,788.614,195.305,991.731,327.281,563.09
Ahmedabad,137.513,100000.0,1320.03,715.165,1403.936,1971.163,1620.624,775.508,1563.09,954.543,1670.415,676.243,879.823,1263.038,423.075,541.405,1097.677,869.221,1368.868,1089.796,102.093,1397.308,450.54,755.166,1327.9,23.441,479.57,948.657,875.34,356.129,1304.937,515.603,365.698,339.102,388.322,648.95,1683.621,494.554,1304.495,1244.377,772.896,665.641,637.919,1231.355,558.213,796.692,199.104,943.527,380.411,452.822
Vellore,1454.366,1320.03,100000.0,1595.387,1121.923,1994.073,1467.862,1672.211,351.499,975.47,523.598,1410.342,1947.67,714.587,1408.525,1598.183,2246.545,598.862,142.775,1450.538,1218.6,1344.534,875.857,1151.725,2371.199,1335.3,1794.045,1998.122,511.621,973.135,1347.797,840.031,1619.731,1147.528,964.518,729.06,1895.301,1170.414,1557.075,2394.65,1763.191,1487.015,687.538,154.314,1785.731,1769.621,1364.952,1567.737,1491.432,947.486
Agra,737.237,715.165,1595.387,100000.0,1092.406,1371.776,1163.269,78.774,1919.719,753.526,2067.531,193.139,373.738,1179.501,297.258,219.113,685.578,1376.157,1578.354,539.217,727.339,958.225,852.954,485.771,775.893,695.213,717.183,411.133,1084.709,902.576,848.612,1048.712,504.35,538.76,745.374,889.318,1049.811,438.185,730.597,823.615,180.843,108.641,1070.167,1572.254,472.531,179.075,906.589,292.669,1064.295,1054.728
Cuttack,1517.434,1403.936,1121.923,1092.406,100000.0,872.17,347.177,1136.081,1459.441,449.956,1634.609,928.74,1443.082,407.345,1140.647,1249.108,1743.161,1373.804,1011.82,614.188,1330.522,260.479,1103.54,681.606,1723.691,1400.625,1700.443,1457.369,852.362,1263.875,326.335,1280.252,1461.953,1065.962,1079.493,910.946,809.12,928.847,574.549,1860.441,1261.993,1012.955,1152.092,1211.035,1523.69,1249.453,1575.895,867.006,1763.468,1377.594
Guwahati,2045.019,1971.163,1994.073,1371.776,872.17,100000.0,527.185,1363.446,2329.555,1167.611,2504.539,1314.677,1576.357,1279.513,1584.072,1588.8,1789.276,2195.284,1881.868,882.252,1931.495,675.635,1819.573,1240.153,1623.994,1958.903,2088.865,1550.396,1682.527,1960.725,720.719,2026.604,1868.684,1654.447,1757.923,1674.891,337.398,1486.837,667.344,1847.983,1466.407,1358.415,1932.631,2080.666,1837.846,1441.186,2168.035,1080.622,2351.413,2101.563
Kolkata,1718.42,1620.624,1467.862,1163.269,347.177,527.185,100000.0,1185.495,1802.373,710.889,1977.354,1040.312,1466.5,753.743,1291.622,1356.15,1740.727,1704.278,1354.697,625.113,1561.253,223.49,1384.151,865.811,1660.994,1613.141,1843.42,1464.11,1184.139,1537.913,323.879,1577.224,1607.043,1284.125,1341.647,1211.673,527.472,1126.83,470.781,1837.384,1308.141,1110.284,1463.425,1558.192,1629.271,1289.255,1806.959,887.592,1995.334,1665.434
Aligarh,787.43,775.508,1672.211,78.774,1136.081,1363.446,1185.495,100000.0,1997.644,816.106,2145.911,264.94,312.173,1242.738,365.371,252.673,622.46,1454.054,1653.345,560.792,793.932,987.177,930.625,553.282,699.055,754.748,733.389,342.108,1161.95,976.882,877.408,1124.761,535.401,615.2,822.797,967.89,1035.554,516.948,738.853,756.537,126.073,185.415,1148.453,1650.385,474.572,114.742,963.072,299.738,1114.564,1128.121
Madurai,1690.35,1563.09,351.499,1919.719,1459.441,2329.555,1802.373,1997.644,100000.0,1325.965,175.192,1739.615,2261.197,1054.012,1711.449,1902.735,2552.494,729.059,447.74,1800.914,1465.485,1689.73,1143.222,1492.047,2694.575,1581.245,2042.659,2315.096,838.665,1207.029,1696.921,1052.67,1891.144,1441.453,1243.176,1034.996,2243.053,1486.453,1908.382,2702.111,2081.701,1812.307,928.949,348.981,2067.619,2090.24,1570.961,1910.328,1667.761,1142.287
Raipur,1070.345,954.543,975.47,753.526,449.956,1167.611,710.889,816.106,1325.965,100000.0,1494.444,564.677,1126.488,426.643,724.154,862.851,1438.025,1033.499,914.169,475.07,880.606,502.497,673.371,274.749,1486.657,951.779,1275.341,1157.667,540.98,828.612,447.639,868.255,1039.772,617.597,636.313,508.12,977.911,490.201,601.239,1572.253,934.162,654.223,765.217,1009.998,1127.476,929.411,1126.162,624.327,1313.955,954.574
Thiruvananthapuram,1792.814,1670.415,523.598,2067.531,1634.609,2504.539,1977.354,2145.911,175.192,1494.444,100000.0,1891.033,2401.478,1229.188,1847.905,2039.126,2687.474,811.313,622.846,1968.846,1575.839,1864.628,1267.889,1651.382,2840.036,1689.775,2148.539,2457.313,994.547,1315.37,1870.845,1155.146,2009.844,1575.094,1371.53,1178.778,2417.503,1631.305,2080.359,2837.632,2225.492,1961.044,1047.283,497.965,2190.834,2235.283,1660.237,2070.504,1741.323,1234.427
Jhansi,733.689,676.243,1410.342,193.139,928.74,1314.677,1040.312,264.94,1739.615,564.677,1891.033,100000.0,566.192,989.196,269.456,321.942,877.885,1228.509,1388.863,438.592,661.053,824.482,712.579,293.667,962.522,660.428,803.611,604.129,901.764,789.101,717.509,920.54,569.133,420.718,609.819,717.914,1012.935,281.875,650.178,1016.705,373.202,89.547,919.335,1393.928,597.713,372.179,875.218,270.177,1050.227,944.408
Patiala,841.226,879.823,1947.67,373.738,1443.082,1576.357,1466.5,312.173,2261.197,1126.488,2401.478,566.192,100000.0,1552.834,556.438,368.469,311.841,1667.074,1939.68,850.308,931.049,1279.637,1148.941,859.452,454.011,856.546,647.993,69.747,1436.209,1158.454,1170.688,1318.793,541.364,831.051,1040.749,1226.289,1239.49,777.328,1003.233,451.977,193.009,478.38,1373.164,1912.238,381.61,197.601,1035.338,584.56,1148.127,1297.635
Visakhapatnam,1393.569,1263.038,714.587,1179.501,407.345,1279.513,753.743,1242.738,1054.012,426.643,1229.188,989.196,1552.834,100000.0,1120.738,1276.072,1864.49,1019.558,607.286,843.445,1172.083,638.671,872.437,696.137,1908.389,1266.525,1648.804,1584.29,515.187,1033.532,659.799,1003.551,1421.771,953.298,887.092,654.757,1195.411,868.231,893.305,1998.868,1360.283,1078.584,850.951,806.947,1531.122,1355.926,1402.001,1038.313,1579.902,1114.284
